Country,Year,PSS,GES,GDPpc,Educ,U,POP,GCF
AUS,2002,17.314,5.30785512924194,29032.49095558881,30.759785,6.37,19.49521,24.40742630670266
AUS,2003,17.498,5.24635744094849,30121.81841773372,31.314152,5.93,19.720737,25.936984813997622
AUS,2004,17.197,5.19459438323975,31763.77281860052,30.82308,5.39,19.932722,27.063647378915828
AUS,2005,16.66,4.8967399597168,33036.583477024884,31.691153,5.03,20.176844,27.456826035559224
AUS,2006,15.699,4.73843002319336,34846.715630241844,33.022213,4.78,20.450966,27.504814498016678
AUS,2007,15.858,4.65364980697632,36653.841717944284,33.73671,4.38,20.827622,27.501990316090662
AUS,2008,17.05,4.63051986694336,37532.99904341326,36.149986,4.23,21.249199,28.6033151100897
AUS,2009,16.853,5.08131980895996,40312.39511869452,36.881355,5.56,21.691653,27.36433967185148
AUS,2010,16.553,5.53811979293823,39374.60591792812,37.604309,5.21,22.03175,26.779828899684983
AUS,2011,17.02,5.06814002990723,42025.46458156182,38.342072,5.08,22.340024,26.45915027727045
AUS,2012,17.308,4.86667013168335,42866.60432950846,41.282364,5.22,22.733465,27.710926860210066
AUS,2013,17.263,5.22909021377563,45936.049310435956,39.539928,5.66,23.128129,27.8666879140392
AUS,2014,17.804,5.16454982757568,46914.38670788361,41.901855,6.08,23.475686,26.71703043392647
AUS,2015,18.207,5.3155198097229,46292.09543911793,42.888756,6.05,23.815995,26.258099023039478
AUS,2016,17.476,5.28689002990723,47289.2859136343,43.7439,5.71,24.190907,25.39507250430396
AUS,2017,17.077,5.13822984695435,48418.55842168096,45.355675,5.59,24.594202,24.099937591580662
AUS,2018,16.638,5.12431001663208,50251.335338146906,45.727478,5.3,24.966643,24.53391870440568
AUS,2019,20.451,5.13429021835327,52011.519112562135,47.129978,5.16,25.340217,23.261037454577902
AUS,2020,17.279,5.60844993591309,53216.46853697124,49.337452,6.46,25.655289,22.265264804257587
AUS,2021,17.279,5.55604839324951,56180.984751700744,49.767868,5.12,25.688079,22.757373374803304
AUT,2002,26.396,5.52213001251221,31178.6933297272,27.807,4.85,8.082121,23.6426568399916
AUT,2003,26.933,5.36183023452759,32145.87051081063,27.807,4.78,8.118245,24.408746461156326
AUT,2004,26.719,5.30243015289307,33774.01809454876,24.783438,5.83,8.169441,24.061026887504784
AUT,2005,26.337,5.24937009811401,35013.71404434227,24.639351,5.63,8.225278,23.82524563708602
AUT,2006,26.063,5.22652006149292,37659.73297310904,25.356432,5.24,8.267948,23.61032758584961
